weekday,hour,AvgCalories,AvgSteps,AvgSleep,Count
Montag,0,70.97435897435898,36.32051282051282,56.925925925925924,156
Montag,1,68.36538461538461,13.448717948717949,56.66101694915254,156
Montag,2,67.5448717948718,8.288461538461538,58.295081967213115,156
Montag,3,66.80128205128206,3.6858974358974357,58.77777777777778,156
Montag,4,67.76282051282051,11.41025641025641,57.08196721311475,156
Montag,5,85.41025641025641,43.333333333333336,56.357142857142854,156
Montag,6,83.21794871794872,131.08333333333334,49.87755102040816,156
Montag,7,90.42948717948718,269.29487179487177,53.03333333333333,156
Montag,8,95.97435897435898,356.5576923076923,44.86363636363637,156
Montag,9,101,376.0897435897436,50.06666666666667,156
Montag,10,102.49032258064516,443.85806451612905,47.111111111111114,155
Montag,11,109.38064516129032,471.2774193548387,48.75,155
Montag,12,113.70967741935483,561.0322580645161,27.5,155
Montag,13,107.65161290322581,464.94193548387096,NA,155
Montag,14,104.25806451612904,414.7096774193548,54,155
Montag,15,96.03870967741935,317.10967741935485,35,155
Montag,16,101.25806451612904,379.0387096774194,NA,155
Montag,17,114.6774193548387,415.96774193548384,NA,155
Montag,18,114.97419354838709,498.76774193548385,NA,155
Montag,19,122.15483870967742,622.5225806451613,NA,155
Montag,20,111.77124183006536,488.0980392156863,26.5,153
Montag,21,84.84313725490196,161.47712418300654,41,153
Montag,22,78.96710526315789,112.13157894736842,51.214285714285715,152
Montag,23,74.53947368421052,82.74342105263158,54.07692307692308,152
Dienstag,0,70.34210526315789,31.289473684210527,58.34090909090909,152
Dienstag,1,69.00657894736842,16.36842105263158,58.170212765957444,152
Dienstag,2,67.72368421052632,11.230263157894736,56.73684210526316,152
Dienstag,3,68.24503311258277,11.7682119205298,57.83050847457627,151
Dienstag,4,69.11920529801324,21.258278145695364,55.49122807017544,151
Dienstag,5,86.42,32.16,57.411764705882355,150
Dienstag,6,83.22147651006712,151.05369127516778,49.67567567567568,149
Dienstag,7,96.72108843537416,372.8299319727891,51.7,147
Dienstag,8,99.65972222222223,390.1666666666667,50.6875,144
Dienstag,9,102.76923076923077,393.6223776223776,50.25,143
Dienstag,10,111.54411764705883,477.84558823529414,42.888888888888886,136
Dienstag,11,105.12878787878788,398.17424242424244,60,132
Dienstag,12,113.7175572519084,549.9847328244275,25.75,131
Dienstag,13,104.08396946564885,423.5648854961832,55.5,131
Dienstag,14,103.31297709923665,350.1297709923664,7,131
Dienstag,15,95.41984732824427,271.7480916030534,36,131
Dienstag,16,104.3969465648855,358.44274809160305,60,131
Dienstag,17,110.02290076335878,396.44274809160305,3,131
Dienstag,18,124.98473282442748,639.0381679389313,NA,131
Dienstag,19,115.61832061068702,482.0534351145038,NA,131
Dienstag,20,107.83969465648855,461.3358778625954,23.75,131
Dienstag,21,99.92366412213741,350.5648854961832,46.4,131
Dienstag,22,89.43511450381679,228.15267175572518,45.333333333333336,131
Dienstag,23,76.25190839694656,87.81679389312977,57.411764705882355,131
Mittwoch,0,75.19847328244275,61.56488549618321,56.829268292682926,131
Mittwoch,1,70.43511450381679,21.389312977099237,59.36363636363637,131
Mittwoch,2,68.6030534351145,10.076335877862595,57.5,131
Mittwoch,3,67.55725190839695,5.679389312977099,57.7962962962963,131
Mittwoch,4,67.6412213740458,6.961832061068702,58.03703703703704,131
Mittwoch,5,78.18320610687023,26.671755725190838,56.61538461538461,131
Mittwoch,6,84.7557251908397,151.04580152671755,47.12765957446808,131
Mittwoch,7,93.46564885496183,326.98473282442745,50.642857142857146,131
Mittwoch,8,103.87786259541984,448.9312977099237,36.31578947368421,131
Mittwoch,9,111.3969465648855,472.6106870229008,60,131
Mittwoch,10,101.13740458015268,349.7709923664122,43.36363636363637,131
Mittwoch,11,108.51908396946565,453.48091603053433,45.8,131
Mittwoch,12,110.06106870229007,448.01526717557255,37.5,131
Mittwoch,13,104.90839694656489,407.4503816793893,55,131
Mittwoch,14,113.1526717557252,483.57251908396944,NA,131
Mittwoch,15,105.86259541984732,386.0610687022901,NA,131
Mittwoch,16,107.64885496183206,399.48091603053433,NA,131
Mittwoch,17,112.67175572519083,495.12213740458014,33,131
Mittwoch,18,127.3587786259542,665.2900763358779,51,131
Mittwoch,19,128.87022900763358,672.7862595419847,31.75,131
Mittwoch,20,99.58778625954199,317.5496183206107,44.2,131
Mittwoch,21,95.0381679389313,273.8854961832061,41.18181818181818,131
Mittwoch,22,84.19083969465649,173.96946564885496,46.38461538461539,131
Mittwoch,23,76.59541984732824,84.22137404580153,51.73684210526316,131
Donnerstag,0,70.85496183206106,28.641221374045802,57,131
Donnerstag,1,68.62595419847328,14.053435114503817,57.15217391304348,131
Donnerstag,2,67.7557251908397,10.419847328244275,56.05769230769231,131
Donnerstag,3,67.2442748091603,5.862595419847328,58.5,131
Donnerstag,4,67.49618320610686,7.572519083969466,57.66,131
Donnerstag,5,81.57251908396947,16.358778625954198,57.93617021276596,131
Donnerstag,6,83.58015267175573,130.16030534351145,46.23255813953488,131
Donnerstag,7,92.8854961832061,293.1603053435114,47.03703703703704,131
Donnerstag,8,99.85496183206106,399.3435114503817,40.68421052631579,131
Donnerstag,9,112.99236641221374,543.5038167938932,56,131
Donnerstag,10,111.41221374045801,503.69465648854964,40.714285714285715,131
Donnerstag,11,104.49618320610686,401.48854961832063,59,131
Donnerstag,12,118.77099236641222,566.7175572519084,33,131
Donnerstag,13,108.05343511450381,461.1297709923664,38,131
Donnerstag,14,110.4885496183206,456.3587786259542,18,131
Donnerstag,15,104.14503816793894,358.69465648854964,60,131
Donnerstag,16,105.95419847328245,391.2442748091603,NA,131
Donnerstag,17,109.99236641221374,466.0610687022901,NA,131
Donnerstag,18,115.1145038167939,460.9541984732824,5,131
Donnerstag,19,116.29770992366412,562.0992366412214,43,131
Donnerstag,20,104.50381679389314,401.9083969465649,30.25,131
Donnerstag,21,96.68702290076335,323.9770992366412,41.9,131
Donnerstag,22,84.09923664122137,148.83969465648855,45.666666666666664,131
Donnerstag,23,79.30534351145039,115.91603053435115,45.94285714285714,131
Freitag,0,72.73282442748092,47.76335877862596,57.973684210526315,131
Freitag,1,69.97709923664122,22.870229007633586,56.26190476190476,131
Freitag,2,68.04580152671755,11.366412213740459,58.77272727272727,131
Freitag,3,67.35114503816794,5.427480916030534,59.391304347826086,131
Freitag,4,67.8854961832061,10.65648854961832,57.4468085106383,131
Freitag,5,79.59541984732824,34.01526717557252,55.733333333333334,131
Freitag,6,84.99236641221374,148.38931297709922,49.94871794871795,131
Freitag,7,91.77862595419847,251.19847328244273,49.629629629629626,131
Freitag,8,102.79389312977099,448.3893129770992,45.23529411764706,131
Freitag,9,107.97709923664122,484.78625954198475,52.125,131
Freitag,10,95.74045801526718,345.85496183206106,51,131
Freitag,11,102.77862595419847,417.9083969465649,38.25,131
Freitag,12,108.09923664122137,492.29007633587787,49.5,131
Freitag,13,108.42748091603053,487.9770992366412,60,131
Freitag,14,105.3587786259542,440.64885496183206,1.5,131
Freitag,15,99.6412213740458,310.51908396946567,60,131
Freitag,16,109.23664122137404,431.22137404580155,60,131
Freitag,17,117.62595419847328,507.46564885496184,60,131
Freitag,18,115.93076923076923,527.5769230769231,60,130
Freitag,19,119.13846153846154,524.8615384615384,60,130
Freitag,20,103.58461538461539,366.02307692307693,31,130
Freitag,21,92.1076923076923,259.31538461538463,31.357142857142858,133
Freitag,22,86.70769230769231,197.7076923076923,49.625,137
Freitag,23,76.33333333333333,84.43410852713178,52.74285714285714,139
Samstag,0,73.20987654320987,47.96913580246913,51.36734693877551,162
Samstag,1,70.14197530864197,24.98148148148148,56.96363636363636,162
Samstag,2,68.87037037037037,14.580246913580247,55.145161290322584,162
Samstag,3,68.34782608695652,12.043478260869565,58.888888888888886,161
Samstag,4,67.54658385093168,4.559006211180124,58.885245901639344,161
Samstag,5,68.18012422360249,15.149068322981366,58.77049180327869,161
Samstag,6,75.57142857142857,81.0807453416149,54.67796610169491,161
Samstag,7,91.22981366459628,239.03726708074535,47.93617021276596,161
Samstag,8,94.84472049689441,284.70186335403724,46.733333333333334,161
Samstag,9,104.83229813664596,396.0869565217391,47.11764705882353,161
Samstag,10,111.7125,476.79375,50.4,160
Samstag,11,114.9875,529.725,38.75,160
Samstag,12,116.85625,531.56875,32.5,160
Samstag,13,110.44375,447.91875,46.2,160
Samstag,14,121.95625,573.9125,53.333333333333336,160
Samstag,15,113.90625,484.4375,49.55555555555556,160
Samstag,16,121.6125,604.3125,44.375,160
Samstag,17,110.88679245283019,463.251572327044,48,159
Samstag,18,109.55345911949685,467.6477987421384,43.5,159
Samstag,19,106.16352201257861,413.3836477987421,28.25,159
Samstag,20,101.60377358490567,368.1006289308176,38.142857142857146,159
Samstag,21,92.80503144654088,248.65408805031447,42.642857142857146,159
Samstag,22,88.36477987421384,205.39622641509433,47.04,159
Samstag,23,78.72784810126582,131.03164556962025,49.6578947368421,159
Sonntag,0,73.65189873417721,57.5126582278481,55.23913043478261,158
Sonntag,1,70.67721518987342,29.38607594936709,57.88461538461539,158
Sonntag,2,68.144,7.632,56,125
Sonntag,3,67.28481012658227,5.930379746835443,58.61666666666667,158
Sonntag,4,66.94904458598727,5.777070063694268,58,157
Sonntag,5,68.18471337579618,15.547770700636942,56.767857142857146,157
Sonntag,6,72.48407643312102,62.4203821656051,57.82692307692308,157
Sonntag,7,79.10191082802548,136.38853503184714,51.680851063829785,157
Sonntag,8,91.52229299363057,268.2229299363057,48.78787878787879,157
Sonntag,9,105.35031847133757,377.1656050955414,35.142857142857146,157
Sonntag,10,109.44585987261146,447.50955414012736,48,157
Sonntag,11,110.22929936305732,473.1019108280255,39.714285714285715,157
Sonntag,12,113.171974522293,492.8789808917197,37.333333333333336,157
Sonntag,13,114.80891719745223,503.96178343949043,35,157
Sonntag,14,118.99363057324841,569.4203821656051,13,157
Sonntag,15,121.75641025641026,564.1987179487179,51.666666666666664,156
Sonntag,16,119.23076923076923,529.8589743589744,34.5,156
Sonntag,17,110.43589743589743,438.9935897435897,48.333333333333336,156
Sonntag,18,101.98717948717949,324.39102564102564,27,156
Sonntag,19,108.6474358974359,447.47435897435895,59.5,156
Sonntag,20,100.8974358974359,386.21794871794873,28.2,156
Sonntag,21,88.51282051282051,233.73717948717947,44.705882352941174,156
Sonntag,22,82.52564102564102,151.75641025641025,45.35,156
Sonntag,23,77.22435897435898,126.75,53.46938775510204,156
